Bad, watts
5002,3950
5003,3951
5004,3952
5005,3953
5006,3954
5007,3955
5008,3956
5009,3957
5010,3958
5011,3959
5012,3960
5013,3961
5014,3962
5015,3963
5016,3964
5017,3965
5018,3966
5019,3967
5020,3968
5021,3969
5022,3970
5023,3971
5024,3972
5025,3973
5026,3974
5027,3975
5028,3976
5029,3977
5030,3978
5031,3979
5032,3980
5033,3981
5034,3982
5035,3983
5036,3984
5037,3985
5038,3986
5039,3987
5040,3988
5041,3989
5042,3990
5043,3991
5044,3992
5045,3993
5046,3994
5047,3995
5048,3996
5049,3997
5050,3998
5051,3999
5052,4000
5053,4001
5054,4002
5055,4003
5056,4004
5057,4005
5058,4006
5059,4007
5060,4008
5061,4009
5062,4010
5063,4011
5064,4012
5065,4013
5066,4014
5067,4015
5068,4016
5069,4017
5070,4018
5071,4019
5072,4020
5073,4021
5074,4022
5075,4023
5076,4024
5077,4025
5078,4026
5079,4027
5080,4028
5081,4029
5082,4030
5083,4031
5084,4032
5085,4033
5086,4034
5087,4035
5088,4036
5089,4037
5090,4038
5091,4039
5092,4040
5093,4041
5094,4042
5095,4043
5096,4044
5097,4045
5098,4046
5099,4047
5100,4048
5101,4049
