Bad, watts
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
5002,4001
